Depth,PHIS_SS,SP_NRM,AI,Freq,Amp,Phase
4893.0,0.374,-9.166,682.68,6.88,1787.14,23.52
4936.0,0.387,-15.263,4146.97,11.15,1722.02,162.62
4979.0,0.33,-8.102,4163.79,8.03,2121.89,-35.02
5001.0,0.341,-28.829,-2102.03,6.77,2239.95,20.5
5044.0,0.343,-3.422,-6826.19,4.96,2312.88,113.53
5087.0,0.345,-16.061,4457.79,3.3,2524.06,170.44
5130.0,0.365,-8.501,3351.71,6.04,2542.47,-120.03
5173.0,0.338,-6.14,-3272.14,7.78,2423.39,-9.41
5195.0,0.344,-8.284,-7247.43,7.95,2291.85,52.71
5238.0,0.243,-11.803,1978.39,6.7,2034.37,169.29
5281.0,0.29,-19.504,7027.78,6.15,2551.74,-94.92
5324.0,0.28,-22.274,-3368.98,6.2,3444.96,2.15
5367.0,0.351,-9.299,-7671.63,5.54,4453.6,93.96
5389.0,0.324,-29.627,-1244.54,5.28,5060.04,135.51
5432.0,0.313,-10.11,10457.93,5.39,5517.41,-142.91
5475.0,0.342,-13.671,-477.08,5.39,5232.8,-57.97
5518.0,0.315,-38.26,-14273.87,4.55,4603.77,21.11
5561.0,0.291,-26.442,4190.39,3.91,2842.31,83.25
5583.0,0.301,-3.847,12156.63,1.65,1974.52,114.56
5669.0,0.35,-14.823,-10642.02,4.51,3011.25,93.48
5712.0,0.334,-8.408,-3085.08,3.53,4698.51,151.96
5755.0,0.335,-37.823,6867.95,4.9,5062.56,-144.14
5777.0,0.279,-34.62,7419.09,5.28,4781.84,-103.68
5820.0,0.285,-18.501,-6036.69,4.24,4251.42,-24.24
5863.0,0.35,-18.281,-4662.13,2.95,3737.28,20.89
5906.0,0.242,-31.849,5644.26,5.84,3228.93,91.85
5949.0,0.31,-40.758,6302.37,5.24,3047.77,-173.15
5971.0,0.333,-42.411,3229.8,1.92,2896.48,-138.69
6014.0,0.204,-40.549,-9099.13,3.06,3332.61,-133.59
6057.0,0.315,-8.276,-80.53,5.8,5064.07,-51.53
6100.0,0.272,-35.164,-1995.25,5.58,5126.95,39.43
6143.0,0.303,-35.094,6293.25,0.18,3346.43,103.18
6165.0,0.315,-7.571,10293.06,0.19,3017.28,83.62
6208.0,0.295,-10.602,-3571.55,5.52,3801.09,147.82
6251.0,-0.082,-19.78,-2716.92,3.89,3468.04,-129.49
6294.0,0.311,-9.042,-4462.94,2.49,1934.92,-98.08
6337.0,0.268,-9.033,1553.35,5.09,1101.26,-29.05
6445.0,0.284,-10.895,-318.88,5.16,1641.34,-8.56
6488.0,0.279,-12.491,-5454.64,5.74,2895.05,81.19
6531.0,0.284,-10.615,330.35,4.55,4306.33,163.22
6596.0,0.301,-5.975,3379.94,4.3,5752.5,-104.25
6639.0,0.285,-9.52,-4906.82,4.58,7676.9,-32.41
6682.0,0.317,-9.63,-7967.41,3.26,7610.74,30.54
6725.0,0.338,-8.501,8681.38,3.16,5722.06,74.61
6790.0,0.341,-7.988,3067.58,4.05,5919.41,164.94
6833.0,0.322,-24.265,-6891.92,3.37,4756.47,-137.39
6876.0,0.305,-8.368,-9247.84,4.71,2599.21,-84.09
6984.0,0.326,-8.102,10098.35,4.74,4201.42,-97.84
7027.0,0.301,-10.023,-6521.45,4.6,5437.79,-25.21
7070.0,0.324,-9.033,-11563.81,3.85,4863.0,42.81
7113.0,0.337,-40.126,7242.32,3.0,2965.08,91.1
7178.0,0.32,-17.452,3019.42,6.47,1892.32,-165.03
7264.0,0.332,-41.496,-4074.08,5.69,1203.37,-168.91
7372.0,0.305,-19.935,1691.3,6.09,1796.21,-67.05
7415.0,0.305,-9.352,-4633.81,5.43,2107.84,24.59
7458.0,0.271,-8.326,-1759.68,4.85,2421.26,101.36
7501.0,0.3,-28.497,4450.61,5.42,2930.56,-179.07
7566.0,0.281,-28.346,-2070.11,4.63,3106.57,-54.34
7609.0,0.22,-33.97,-6681.28,4.06,3383.38,7.22
7652.0,0.119,-34.454,1288.4,5.97,3319.71,84.39
7695.0,0.326,-7.438,8325.11,7.1,3151.78,-172.02
7760.0,0.243,-14.013,-7926.89,6.79,2083.32,-2.89
7803.0,0.29,-10.532,-7373.89,5.08,1654.45,88.91
7846.0,0.327,-9.641,6730.66,4.16,1876.57,159.29
7889.0,0.384,-7.039,5691.77,4.07,1940.73,-138.87
3104.0,0.372,-14.831,-8633.32,7.4,9954.29,145.2
3125.5,0.418,0.213,4618.69,8.04,10444.49,-155.65
3147.0,0.375,-1.688,15201.52,8.93,10552.28,-90.04
3168.5,0.411,-1.183,7546.16,9.62,10239.99,-16.98
3190.0,0.333,-25.089,-14648.65,9.5,9906.4,59.19
3211.5,0.523,-9.055,-21436.48,8.18,9574.06,130.38
3233.5,0.528,-6.069,-2014.74,5.97,9130.35,-173.84
3255.0,0.526,-2.161,14752.25,5.26,9137.04,-136.95
3276.5,0.377,-6.144,17287.95,6.36,9426.8,-92.27
3298.0,0.329,-29.347,8725.59,6.72,9989.61,-38.22
3319.5,0.385,-31.068,-9037.4,6.07,10346.24,12.05
3341.0,0.412,-66.623,-18470.43,5.94,10518.1,55.97
3362.5,0.411,-5.474,-13440.06,6.61,10645.33,104.28
3384.0,0.421,-34.456,1710.72,6.95,10794.49,158.54
3405.5,0.391,-48.02,18528.49,6.65,10896.99,-147.84
3427.5,0.403,-54.29,20786.52,6.33,11046.99,-98.22
3449.0,0.421,-16.821,6359.05,6.32,11381.59,-49.64
3470.5,0.365,-7.589,-13225.3,6.3,11777.81,-0.16
3492.0,0.354,-8.549,-24421.01,6.26,12152.45,48.13
3513.5,0.379,-3.34,-18970.06,6.56,12447.28,96.97
3535.0,0.524,1.189,238.85,7.01,12311.2,149.94
3556.5,0.389,-17.346,23574.55,7.14,11529.39,-154.18
3578.0,0.42,-51.911,30010.15,6.45,9896.76,-99.31
3599.5,0.376,-8.533,9058.93,2.5,7722.8,-54.01
3621.5,0.525,-1.224,-16039.77,0.33,6206.25,-60.51
3643.0,0.385,1.577,-20941.33,3.65,5746.61,-48.89
3664.5,0.39,-67.148,-13015.01,5.5,5848.28,-3.87
3686.0,0.399,-70.774,-4187.1,4.94,6056.3,36.54
3707.5,0.393,-66.462,4793.17,5.5,6205.59,72.87
3729.0,0.404,-68.169,9791.0,6.98,6324.99,121.85
3750.5,0.374,-43.775,12742.05,7.88,6357.15,-178.73
3772.0,0.392,-71.569,13340.0,8.07,6196.99,-115.85
3793.5,0.398,-77.367,3973.75,7.87,5776.81,-53.48
3815.0,0.388,-64.169,-11148.18,7.23,5405.99,6.25
3837.0,0.373,-69.582,-19167.64,5.76,5602.24,58.8
3858.5,0.381,-68.678,-13081.96,4.24,6450.31,95.72
3880.0,0.382,-62.513,-290.62,4.48,7964.88,124.57
3901.5,0.362,-62.397,8814.81,5.72,9352.01,165.26
3923.0,0.379,-71.969,14804.25,6.24,10383.91,-146.73
3944.5,0.386,-74.616,15773.46,6.17,11255.81,-97.91
3966.0,0.378,-53.431,4826.4,5.84,11892.99,-50.98
3987.5,0.402,3.955,-13077.38,5.5,11997.62,-7.24
4009.0,0.38,-58.823,-22318.71,5.49,11354.59,34.42
4031.0,0.395,-63.336,-15736.58,5.67,9968.65,77.92
4052.5,0.382,-72.223,2206.32,5.23,8474.96,122.47
4074.0,0.377,-70.164,19470.81,4.12,7415.48,159.04
4095.5,0.384,-72.302,21226.85,4.38,6690.51,-173.62
4117.0,0.389,-62.645,10022.9,6.02,6084.93,-133.0
4138.5,0.383,-49.719,-3001.53,6.85,5700.96,-80.24
4160.0,0.415,1.87,-14459.29,6.62,5605.93,-26.65
